deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method
0,0.5213134328358209,0.45864661654135336,0.07462686567164178,,,0,0,,pima,lr,13,no_cleaning
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,0,0,,pima,lr,13,class_proportional
0,0.717134328358209,0.6977058029689609,0.746268656716418,,,0,269,,pima,lr,13,plain_smote
0,0.729134328358209,0.7120787709023003,0.746268656716418,,,0,273,,pima,lr,13,oof_filtered_smote
0,0.5183880597014925,0.43841965531206406,0.04477611940298507,,,0,0,,pima,lr,17,no_cleaning
44,0.6793432835820896,0.6895356895356894,0.4626865671641791,0.3181818181818182,0.0,0,0,,pima,lr,17,class_proportional
0,0.733910447761194,0.6988028072106784,0.835820895522388,,,0,273,,pima,lr,17,plain_smote
0,0.749910447761194,0.7183893731838937,0.835820895522388,,,0,277,,pima,lr,17,oof_filtered_smote
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,0,0,,pima,lr,23,no_cleaning
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.22727272727272727,0.06818181818181818,0,0,,pima,lr,23,class_proportional
0,0.7264477611940299,0.6931216931216931,0.8208955223880597,,,0,263,,pima,lr,23,plain_smote
0,0.7293731343283583,0.6896693422458429,0.8507462686567164,,,0,267,,pima,lr,23,oof_filtered_smote
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,29,no_cleaning
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,0,0,,pima,lr,29,class_proportional
0,0.7222089552238806,0.7093816935599029,0.7164179104477612,,,0,291,,pima,lr,29,plain_smote
0,0.7525970149253731,0.7374358974358974,0.7611940298507462,,,0,294,,pima,lr,29,oof_filtered_smote
0,0.5666268656716418,0.5298609670056028,0.14925373134328357,,,0,0,,pima,lr,31,no_cleaning
44,0.6633432835820896,0.671052206238888,0.4626865671641791,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,31,class_proportional
0,0.6232835820895523,0.5978835978835979,0.6865671641791045,,,0,269,,pima,lr,31,plain_smote
0,0.6467462686567165,0.6227480282274802,0.7014925373134329,,,0,273,,pima,lr,31,oof_filtered_smote
0,0.5298507462686567,0.45569905053323134,0.05970149253731343,,,0,0,,pima,lr,37,no_cleaning
44,0.660955223880597,0.6696244812578023,0.417910447761194,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,37,class_proportional
0,0.7125970149253731,0.6892857142857143,0.7611940298507462,,,0,281,,pima,lr,37,plain_smote
0,0.713134328358209,0.6929206767866662,0.746268656716418,,,0,285,,pima,lr,37,oof_filtered_smote
0,0.5149253731343284,0.42581090407177363,0.029850746268656716,,,0,0,,pima,lr,41,no_cleaning
44,0.6614925373134328,0.6703296703296704,0.40298507462686567,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,41,class_proportional
0,0.6605970149253731,0.6265512423636413,0.7611940298507462,,,0,285,,pima,lr,41,plain_smote
0,0.6656716417910448,0.6392174201392726,0.7313432835820896,,,0,288,,pima,lr,41,oof_filtered_smote
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,43,no_cleaning
44,0.7017313432835821,0.7130604288499025,0.5074626865671642,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,43,class_proportional
0,0.741910447761194,0.708601230718287,0.835820895522388,,,0,261,,pima,lr,43,plain_smote
0,0.7229850746268657,0.6922736818834974,0.8059701492537313,,,0,265,,pima,lr,43,oof_filtered_smote
0,0.5333134328358209,0.467206977051491,0.07462686567164178,,,0,0,,pima,lr,47,no_cleaning
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,0,0,,pima,lr,47,class_proportional
0,0.709134328358209,0.6881371121317352,0.746268656716418,,,0,271,,pima,lr,47,plain_smote
0,0.717134328358209,0.6977058029689609,0.746268656716418,,,0,275,,pima,lr,47,oof_filtered_smote
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,53,no_cleaning
44,0.6311044776119403,0.6351449400545901,0.3582089552238806,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,53,class_proportional
0,0.6678208955223881,0.6530773574251836,0.6716417910447762,,,0,257,,pima,lr,53,plain_smote
0,0.6598208955223881,0.6437246963562753,0.6716417910447762,,,0,261,,pima,lr,53,oof_filtered_smote
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,59,no_cleaning
44,0.6367164179104478,0.6381775856335218,0.31343283582089554,0.29545454545454547,0.09090909090909091,0,0,,pima,lr,59,class_proportional
0,0.6454328358208956,0.6343688713299036,0.6268656716417911,,,0,277,,pima,lr,59,plain_smote
0,0.5846567164179104,0.577780951020991,0.5373134328358209,,,0,281,,pima,lr,59,oof_filtered_smote
0,0.5447761194029851,0.48412104127207856,0.08955223880597014,,,0,0,,pima,lr,61,no_cleaning
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,61,class_proportional
0,0.7075223880597015,0.6768122740693727,0.7910447761194029,,,0,281,,pima,lr,61,plain_smote
0,0.7075223880597015,0.6768122740693727,0.7910447761194029,,,0,285,,pima,lr,61,oof_filtered_smote
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,67,no_cleaning
44,0.652955223880597,0.6605170975813177,0.417910447761194,0.36363636363636365,0.022727272727272728,0,0,,pima,lr,67,class_proportional
