deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method
0,0.5213134328358209,0.45864661654135336,0.07462686567164178,,,0,0,,pima,lr,13,no_cleaning
44,0.6518805970149254,0.6586390819460158,0.44776119402985076,0.3181818181818182,0.09090909090909091,0,0,,pima,lr,13,class_proportional
0,0.7105074626865671,0.713999088007296,0.5970149253731343,,,44,0,0.20454545454545456,pima,lr,13,balanced_oof_relabel
0,0.586865671641791,0.5774027879677183,0.2537313432835821,,,44,0,0.09090909090909091,pima,lr,13,random_relabel
0,0.5183880597014925,0.43841965531206406,0.04477611940298507,,,0,0,,pima,lr,17,no_cleaning
44,0.6793432835820896,0.6895356895356894,0.4626865671641791,0.3181818181818182,0.0,0,0,,pima,lr,17,class_proportional
0,0.7294328358208955,0.7325257419745609,0.6268656716417911,,,44,0,0.13636363636363635,pima,lr,17,balanced_oof_relabel
0,0.5924776119402985,0.5733333333333334,0.208955223880597,,,44,0,0.06818181818181818,pima,lr,17,random_relabel
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,0,0,,pima,lr,23,no_cleaning
44,0.6737313432835821,0.6802312792634259,0.5074626865671642,0.22727272727272727,0.06818181818181818,0,0,,pima,lr,23,class_proportional
0,0.6945074626865672,0.6951741904562202,0.5970149253731343,,,44,0,0.11363636363636363,pima,lr,23,balanced_oof_relabel
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,44,0,0.11363636363636363,pima,lr,23,random_relabel
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,0,0,,pima,lr,29,no_cleaning
44,0.7435820895522388,0.7579440762889931,0.5671641791044776,0.38636363636363635,0.0,0,0,,pima,lr,29,class_proportional
0,0.7603582089552239,0.765625,0.6567164179104478,,,44,0,0.25,pima,lr,29,balanced_oof_relabel
0,0.6039402985074627,0.5885714285714285,0.22388059701492538,,,44,0,0.11363636363636363,pima,lr,29,random_relabel
0,0.5666268656716418,0.5298609670056028,0.14925373134328357,,,0,0,,pima,lr,31,no_cleaning
44,0.6633432835820896,0.671052206238888,0.4626865671641791,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,31,class_proportional
0,0.6651940298507463,0.669250645994832,0.5223880597014925,,,44,0,0.22727272727272727,pima,lr,31,balanced_oof_relabel
0,0.5994029850746269,0.5872235872235873,0.23880597014925373,,,44,0,0.09090909090909091,pima,lr,31,random_relabel
0,0.5298507462686567,0.45569905053323134,0.05970149253731343,,,0,0,,pima,lr,37,no_cleaning
44,0.660955223880597,0.6696244812578023,0.417910447761194,0.4318181818181818,0.022727272727272728,0,0,,pima,lr,37,class_proportional
0,0.7035820895522388,0.7094054054054054,0.5671641791044776,,,44,0,0.22727272727272727,pima,lr,37,balanced_oof_relabel
0,0.5775522388059702,0.550314973348409,0.1791044776119403,,,44,0,0.022727272727272728,pima,lr,37,random_relabel
0,0.5149253731343284,0.42581090407177363,0.029850746268656716,,,0,0,,pima,lr,41,no_cleaning
44,0.6614925373134328,0.6703296703296704,0.40298507462686567,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,41,class_proportional
0,0.6782686567164179,0.686545664073754,0.4925373134328358,,,44,0,0.20454545454545456,pima,lr,41,balanced_oof_relabel
0,0.5298507462686567,0.45569905053323134,0.05970149253731343,,,44,0,0.022727272727272728,pima,lr,41,random_relabel
0,0.5482388059701493,0.49462783171521035,0.1044776119402985,,,0,0,,pima,lr,43,no_cleaning
44,0.7017313432835821,0.7130604288499025,0.5074626865671642,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,43,class_proportional
0,0.7787462686567164,0.7806637806637806,0.7014925373134329,,,44,0,0.1590909090909091,pima,lr,43,balanced_oof_relabel
0,0.651641791044776,0.6573301766527044,0.34328358208955223,,,44,0,0.022727272727272728,pima,lr,43,random_relabel
0,0.5333134328358209,0.467206977051491,0.07462686567164178,,,0,0,,pima,lr,47,no_cleaning
44,0.6558805970149254,0.6631578947368422,0.44776119402985076,0.29545454545454547,0.045454545454545456,0,0,,pima,lr,47,class_proportional
0,0.6955820895522388,0.6999908085419284,0.5671641791044776,,,44,0,0.18181818181818182,pima,lr,47,balanced_oof_relabel
0,0.5442388059701493,0.4914559125085441,0.1044776119402985,,,44,0,0.045454545454545456,pima,lr,47,random_relabel
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,53,no_cleaning
44,0.6311044776119403,0.6351449400545901,0.3582089552238806,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,53,class_proportional
0,0.6478805970149254,0.6541430777148739,0.44776119402985076,,,44,0,0.20454545454545456,pima,lr,53,balanced_oof_relabel
0,0.550089552238806,0.5205244264086155,0.16417910447761194,,,44,0,0.1590909090909091,pima,lr,53,random_relabel
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,59,no_cleaning
44,0.6367164179104478,0.6381775856335218,0.31343283582089554,0.29545454545454547,0.09090909090909091,0,0,,pima,lr,59,class_proportional
0,0.6833432835820896,0.6942269409422694,0.4626865671641791,,,44,0,0.22727272727272727,pima,lr,59,balanced_oof_relabel
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,44,0,0.045454545454545456,pima,lr,59,random_relabel
0,0.5447761194029851,0.48412104127207856,0.08955223880597014,,,0,0,,pima,lr,61,no_cleaning
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,61,class_proportional
0,0.7248955223880598,0.7248955223880598,0.6417910447761194,,,44,0,0.20454545454545456,pima,lr,61,balanced_oof_relabel
